frequency, word
59,pyramus
59,offence
59,occasion
59,harry
59,greater
59,florizel
59,chain
59,burn
59,ass
58,yonder
58,wisdom
58,wert
58,title
58,taste
58,suffer
58,smile
58,safe
58,quoth
58,priest
58,precious
58,nerissa
58,malice
58,lavinia
58,laid
58,la
58,know'st
58,doing
58,cross
58,cheer
58,bones
58,bertram
58,aught
58,alack
57,winchester
57,until
57,street
57,peter
57,parolles
57,neck
57,motion
57,mother's
57,miranda
57,making
57,luciana
57,lieutenant
57,lancaster
57,keeps
57,goodly
57,gonzalo
57,excuse
57,corn
56,whereof
56,weary
56,volumnia
56,vain
56,song
56,shadow
56,several
56,rise
56,order
56,mock
56,lorenzo
56,laugh
56,kingdom
56,gremio
56,fluellen
56,double
56,desires
56,cruel
56,brow
56,bitter
56,amen
55,wild
55,whiles
55,struck
55,scarce
55,reads
55,opinion
55,mayst
55,manner
55,labour
55,fears
55,dry
55,church
55,bright
55,ancient
55,aguecheek
55,advantage
54,wound
54,who's
54,trouble
54,rough
54,room
54,quite
54,poet
54,officers
54,katharine
54,in't
54,fill
54,fat
54,discourse
54,dauphin
54,costard
54,caliban
54,brother's
54,boyet
54,awake
54,aufidius
54,abroad
53,yourselves
53,wast
53,voices
53,'twixt
53,trumpets
53,thomas
53,spent
53,shouldst
53,quince
53,post
53,oph
53,liberty
53,large
53,knowledge
53,glass
53,forest
53,fabian
53,christian
53,carry
53,blame
53,affairs
52,wrongs
52,wretched
52,worship
52,woo
52,wits
52,tribunes
52,tranio
52,steel
52,stanley
52,servants
52,secret
52,red
52,quiet
52,poison
52,patroclus
52,lo
52,hail
52,grows
52,greatness
52,george
52,follows
52,falls
52,dark
52,choice
52,chiron
52,broken
52,blessed
52,bearing
52,andronicus
51,wine
51,weeping
51,wales
51,swords
51,sometime
51,proceed
51,melancholy
51,legs
51,lawful
51,endure
51,depart
51,creature
51,borne
51,affection
50,tybalt
50,throne
50,sort
50,obey
50,humphrey
50,humble
50,heels
50,hang'd
50,guilty
50,forbid
50,drunk
50,damn'd
50,cunning
50,cried
50,claim
50,archbishop
49,wood
49,tongues
49,terms
49,story
49,sharp
49,niece
49,monster
49,leaves
49,fought
49,foe
49,drop
49,do't
49,camp
49,brothers
49,athens
49,ariel
48,wealth
48,twice
48,towards
48,swift
48,spend
48,sings
48,safety
48,percy
48,oliver
48,merchant
48,mar
48,madness
48,loud
48,jew
48,honours
48,helen
48,gentlewoman
48,forsworn
48,food
48,effect
48,dispatch
48,cries
48,chief
48,blows
48,beyond
47,ways
47,tree
47,top
47,table
47,seven
47,seat
47,seal
47,reasons
47,pure
47,pound
47,murder
47,happiness
47,giving
47,england's
47,condition
47,colour
47,becomes
46,wanton
46,tune
46,thisby
46,thief
46,'t
46,spite
46,senators
46,say'st
46,round
46,request
46,remembrance
46,protector
46,proper
46,nought
46,monstrous
46,messala
46,mayor
46,leisure
46,jove
46,idle
46,hit
46,gift
46,fury
46,fond
46,courage
46,caesar's
46,beggar
46,beast
46,asleep
46,argument
45,wretch
45,wide
45,trumpet
45,surrey
45,sum
45,sooner
45,slow
45,seeing
45,pleas'd
45,owe
45,montague
45,mend
45,knee
45,hermione
45,griefs
45,forgive
45,flies
45,doors
45,diana
45,deadly
45,clear
45,benedick
44,wives
44,wings
44,wicked
44,wait
44,thunder
44,thinks
44,summer
44,stone
44,single
44,seeming
44,rogue
44,remedy
44,reignier
44,private
44,prepare
44,ones
44,octavius
44,natural
44,mortimer
44,memory
44,lovely
44,liv'd
44,lands
44,jewel
44,finger
44,fame
44,dust
44,dreadful
44,denied
44,crowns
44,courtesy
44,colours
44,britain
43,trinculo
43,therein
43,shut
43,reverend
43,remain
43,puts
43,pain
43,minds
43,meat
43,manners
43,led
43,kneel
43,heat
43,for't
43,envy
43,edg
43,cheeks
43,charmian
43,catch
43,burgundy
43,brook
43,brabantio
43,blunt
43,blest
42,'twill
42,turns
42,sometimes
42,ratcliff
42,painter
42,paid
42,master's
42,lady's
42,juliet
42,hortensio
42,grown
42,goodness
42,gifts
42,gain
42,forbear
42,fish
42,fellows
42,duke's
42,ducats
42,despair
42,dance
42,bassianus
42,approach
42,anger
42,always
42,absence
41,sits
41,sigh
41,shore
41,satisfied
41,realm
41,rare
41,rain
41,plot
41,oxford
41,outward
41,loved
41,laer
41,katherine
41,join
41,humbly
41,gate
41,freely
41,flood
41,fain
41,fail
41,evil
41,dearest
41,cure
41,cromwell
41,cost
41,chide
41,brings
41,breathe
41,bare
41,able
40,wash
40,vengeance
40,us'd
40,undone
40,train
40,taught
40,suddenly
40,stranger
40,stars
40,skill
40,sheep
40,sees
40,rule
40,rose
40,receiv'd
40,ransom
40,rank
40,prize
40,powers
40,meaning
40,lovers
40,lover
40,list
40,le
40,lartius
40,knock
40,knife
40,hopes
40,henry's
40,former
40,few
40,ease
40,demand
40,deal
40,council
40,clouds
39,virtues
39,traitors
39,success
39,stones
39,stol'n
39,spoken
39,silver
39,shine
39,romans
39,public
39,possible
39,plead
39,plantagenet
39,perfect
39,perdita
39,oaths
39,meant
39,lovell
39,jealous
39,instant
39,horns
39,graces
39,girl
39,gaunt
39,garments
39,gallant
39,feet
39,faint
39,easy
39,drops
39,divine
39,burning
39,betwixt
39,bark
38,wrath
38,wont
38,womb
38,streets
38,sleeping
38,shed
38,saying
38,sail
38,repair
38,quality
38,puck
38,promis'd
38,party
38,number
38,nose
38,north
38,main
38,loose
38,knees
38,heart's
38,forsooth
38,flight
38,embrace
38,early
38,deserve
38,defend
38,credit
38,breed
38,biondello
38,alencon
38,aid
37,warlike
37,trick
37,tomb
37,tide
37,storm
37,spring
37,spake
37,salt
37,reg
37,policy
37,philip
37,perforce
37,orleans
37,offend
37,names
37,mere
37,encounter
37,civil
37,cave
37,bow
37,bought
37,blush
37,below
37,an't
36,wake
36,tyrant
36,triumph
36,tidings
36,thrive
36,supper
36,sign
36,show'd
36,seest
36,sacred
36,sack
36,ross
36,return'd
36,play'd
36,particular
36,painted
36,obedience
36,moth
36,mirth
36,meeting
36,lafeu
36,kisses
36,keeper
36,hollow
36,heavenly
36,guess
36,gross
36,fourth
36,flower
36,fiery
36,fatal
36,execution
36,estate
36,durst
36,dread
36,disposition
36,devise
36,desperate
36,delight
36,degree
36,dar'st
36,conduct
36,bids
36,bestow
36,authority
36,angel
36,alcibiades
36,adam
35,winter
35,winds
35,window
35,victory
35,undertake
35,thinking
35,teeth
35,t'
35,sighs
35,sickness
35,ship
35,repent
35,rascal
35,montano
35,modesty
35,kindness
35,intend
35,hubert
35,hers
35,garden
35,frown
35,francis
35,followers
35,ferdinand
35,equal
35,edward's
35,doom
35,dares
35,damned
35,countenance
35,contrary
35,consider
35,charity
35,canterbury
35,bred
35,bishop
35,assure
34,yond
34,wench
34,villains
34,trial
34,touch'd
34,titinius
34,thereof
34,strikes
34,star
34,speaking
34,sore
34,render
34,protest
34,nature's
34,month
34,heed
34,haply
34,goths
34,glorious
34,gent
34,gaoler
34,flatter
34,fiend
34,fairly
34,enjoy
34,drown'd
34,device
34,despite
34,deliver'd
34,debt
34,constant
34,constance
34,commission
34,buried
34,bite
34,big
34,begins
34,bedford
34,armado
33,weeds
33,weapons
33,waste
33,treasure
33,tied
33,thrust
33,tarry
33,subjects
33,spare
33,smooth
33,sleeps
33,sirs
33,shot
33,runs
33,rosaline
33,rivers
33,ride
33,reputation
33,picture
33,numbers
33,merit
33,lucilius
33,'i
33,highness'
33,hie
33,hereafter
33,henceforth
33,grieve
33,frederick
33,dew
33,country's
33,bind
33,bend
33,ambition
33,account
32,wish'd
32,vice
32,tonight
32,throat
32,think'st
32,thieves
32,they'll
32,substance
32,sorrows
32,smell
32,slander
32,six
32,shortly
32,root
32,revolt
32,reign
32,possess'd
32,peril
32,pen
32,parted
32,offended
32,nine
32,naked
32,mov'd
32,limbs
32,learned
32,lean
32,kinsman
32,jessica
32,isle
32,herald
32,greek
32,greatest
32,glove
32,following
32,farther
32,fall'n
32,fairest
32,everything
32,draws
32,disgrace
32,dagger
32,custom
32,cranmer
32,countrymen
32,counterfeit
32,corin
32,cease
32,capitol
32,burden
32,bird
32,beaten
32,apt
32,advice
31,y'are
31,wrought
31,wounded
31,worn
31,world's
31,williams
31,vouchsafe
31,visit
31,violent
31,vincentio
31,twelve
31,tempest
31,study
31,store
31,staff
31,slew
31,sky
31,sends
31,salerio
31,rob
31,reverence
31,prisoners
31,places
31,perchance
31,outlaw
31,neighbour
31,milan
31,methought
31,looking
31,liest
31,ladyship
31,knaves
31,ignorant
31,ignorance
31,honey
31,gardiner
31,fruit
31,fits
31,fingers
31,fear'd
31,fairer
31,ends
31,empty
31,dying
31,dumb
31,don
31,dogs
31,dick
31,cur
31,conceit
31,car
31,bury
31,behalf
31,barren
31,attended
31,appears
31,ambitious
31,affections
30,warm
30,virgilia
30,unworthy
30,unknown
30,troyan
30,timon's
30,tedious
30,swore
30,step
30,stays
30,sounds
30,soothsayer
30,silvius
30,she'll
30,senate
30,reveng'd
30,raise
30,pass'd
30,pandulph
30,o'clock
30,nobles
30,murther
30,mowbray
30,monsieur
30,moe
30,mistake
30,mischief
30,lines
30,knowing
30,intent
30,i'd
30,grecian
30,goose
30,fortune's
30,forces
30,flowers
30,flavius
30,firm
30,fac'd
30,escalus
30,entertain
30,edmund
30,edge
30,earnest
30,diomed
30,desert
30,cup
30,coz
30,contempt
30,cinna
30,chair
30,brows
30,bride
30,books
30,blessing
30,beauteous
30,alonso
30,alike
30,acquainted
29,wondrous
29,west
29,utter
29,tut
29,'the
29,tells
29,surely
29,spur
29,sink
29,sides
29,seas
29,school
29,rock
29,ripe
29,prologue
29,prey
29,osw
29,nobility
29,native
29,naples
29,maids
29,leonato
29,image
29,horn
29,horatio
29,hid
29,hanging
29,groan
29,greet
29,feeble
29,eternal
29,envious
29,east
29,dwell
29,duncan
29,displeasure
29,dishonour
29,directly
29,consul
29,circumstance
29,brains
29,bodies
29,benefit
29,belly
29,bawd
29,bade
29,babe
29,angels
29,amongst
29,aim
29,accuse
28,woes
28,willingly
28,weight
28,weigh
28,verse
28,unhappy
28,thick
28,sway
28,stuff
28,stomach
28,stay'd
28,smiles
28,publius
28,profit
28,porter
28,pocket
28,perhaps
28,otherwise
28,moved
28,months
28,mars
28,jealousy
28,it's
28,hunt
28,horses
28,heartily
28,hateful
28,hal
28,frame
28,fore
28,followed
28,finds
28,figure
28,fierce
28,feeling
28,fathers
28,fate
28,drums
28,dignity
28,difference
28,deserv'd
28,cupid
28,creatures
28,challenge
28,bounty
28,belike
28,banished
28,avoid
28,attending
28,athenian
28,answer'd
28,absent
27,written
27,withdraw
27,wisely
27,wills
27,wants
27,villainy
27,trade
27,time's
27,sweetly
27,sweat
27,stroke
27,stoop
27,special
27,sold
27,sins
27,serves
27,serv'd
27,senses
27,season
27,scope
27,rugby
27,remove
27,rash
27,quit
27,queen's
27,pol
27,pleasures
27,physic
27,perform'd
27,perform
27,pause
27,object
27,nobly
27,mouths
27,morn
27,minister
27,menelaus
27,marks
27,maintain
27,lust
27,longaville
27,leg
27,innocent
27,husband's
27,honor
27,hardly
27,gloucester's
27,freedom
27,fancy
27,faces
27,entertainment
27,empress
27,elder
27,dreams
27,darkness
27,curses
27,commons
27,chase
27,chang'd
27,bent
27,beauty's
27,banish
27,appetite
27,apparel
27,apart
27,amiss
